NAME,TYPE,LOCATION
"INSCOLVSQL","Virtual machine","South Central US"
"inscolvsql","SQL virtual machine","South Central US"
"INSCOLVSQL-datadisk-00","Disk","South Central US"
"INSCOLVSQL-datadisk-00-243080dc-c2a2-45bb-90f3-e76707dc43ce","Disk","South Central US"
"INSCOLVSQL-OSdisk-00","Disk","South Central US"
"INSDAL9DC01","Virtual machine","South Central US"
"INSDAL9DC01-OSdisk-00","Disk","South Central US"
"INSDAL9DC02","Virtual machine","South Central US"
"INSDAL9DC02-OSdisk-00","Disk","South Central US"
"INSDALFILE01","Virtual machine","South Central US"
"INSDALFILE01-datadisk-00","Disk","South Central US"
"INSDALFILE01-OSdisk-00","Disk","South Central US"
"INSDALSMTP","Virtual machine","South Central US"
"INSDALSMTP-OSdisk-00","Disk","South Central US"
"INSHARPORTAL","Virtual machine","South Central US"
"INSHARPORTAL-OSdisk-00","Disk","South Central US"
"INSHARSQL001-datadisk-00","Disk","South Central US"
"INSHARSQL001-datadisk-00-191e0b20-585a-4c2f-aef8-99c9d9758372","Disk","South Central US"
"INSHARSQL001-datadisk-00-4f05cf85-0ba4-4471-a843-55658ab4ddf7","Disk","South Central US"
"INSHARSQL001-datadisk-00-b8a4dcf1-e439-4c50-b4af-833f73ad4fc4","Disk","South Central US"
"INSHARSQL001-OSdisk-00","Disk","South Central US"
"INSHARSQL001-OSdisk-00-aa5e4798-34f8-4f4f-bb8b-5118e3445bca","Disk","South Central US"
"INSNSH9DC01","Virtual machine","South Central US"
"INSNSH9DC01-OSdisk-00","Disk","South Central US"
"INSNSHFILE01","Virtual machine","South Central US"
"INSNSHFILE01-datadisk-00","Disk","South Central US"
"INSNSHFILE01-OSdisk-00","Disk","South Central US"
"KubernetesRecordingRulesRuleGroup-dev-aks","Prometheus rule group","South Central US"
"LNG_BatonRouge","Local network gateway","South Central US"
"LNG_BossierCity","Local network gateway","South Central US"
"LNG_BR_Industriplex","Local network gateway","South Central US"
"LNG_COLO","Local network gateway","South Central US"
"LNG_HarahanCommerce","Local network gateway","South Central US"
"LNG_HarahanEdwards","Local network gateway","South Central US"
"LNG_HarahanEdwards_2nd","Local network gateway","South Central US"
"LNG_Houston_Sommermeyer","Local network gateway","South Central US"
"LNG_HoustonDeptA","Local network gateway","South Central US"
"LNG_HoustonDeptB","Local network gateway","South Central US"
"LNG_HoustonParkway","Local network gateway","South Central US"
"LNG_MIS_Covington","Local network gateway","South Central US"
"LNG_Pasadena","Local network gateway","South Central US"
"LNG_Sulphur","Local network gateway","South Central US"
"Memory Working Set Percentage - dev-aks","Metric alert rule","Global"
"MSCI-southcentralus-dev-aks","Data collection rule","South Central US"
"MSProm-southcentralus-dev-aks","Data collection endpoint","South Central US"
"MSProm-southcentralus-dev-aks","Data collection rule","South Central US"
"nic-INSCOLFIL001-00","Network Interface","South Central US"
"nic-INSCOLPVAULT-00","Network Interface","South Central US"
"nic-INSCOLRDS01-00","Network Interface","South Central US"
"nic-INSCOLRDSWEB-00","Network Interface","South Central US"
"nic-INSCOLVISTA-00","Network Interface","South Central US"
"nic-INSCOLVISTA-00-nsg","Network security group","South Central US"
"nic-INSCOLVSQL-00","Network Interface","South Central US"
"nic-INSCOLVSQL-00-nsg","Network security group","South Central US"
"nic-INSDAL9DC02-00","Network Interface","South Central US"
"nic-INSDALFILE01-00","Network Interface","South Central US"
"nic-INSDALSMTP-00","Network Interface","South Central US"
"nic-INSHARPORTAL-00","Network Interface","South Central US"
"nic-INSNSH9DC01-00","Network Interface","South Central US"
"nic-INSNSHFILE01-00","Network Interface","South Central US"
"nmm-app-runbooks-01fd","Automation Account","South Central US"
"nmm-scripted-action","Runbook","South Central US"
"NodeAndKubernetesRecordingRulesRuleGroup-Win-dev-aks","Prometheus rule group","South Central US"
"NodeRecordingRulesRuleGroup-dev-aks","Prometheus rule group","South Central US"
"NodeRecordingRulesRuleGroup-Win-dev-aks","Prometheus rule group","South Central US"
"Pasadena","Connection","South Central US"
"pip-vnet_prod-southcentralus-default","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default2","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default3","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default4","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default5","Public IP address","South Central US"
"pip-vnet_prod-southcentralus-default6","Public IP address","South Central US"
"Portal-Public","Network Interface","South Central US"
"pptx-extract-api-ba8d","Managed Identity","Central US"
"pptx-extractor","App Service","South Central US"
"RecommendedAlertRules-AG-1","Action group","Global"
"rgprodperfdiag310","Storage account","South Central US"
"rgprodperfdiag473","Storage account","South Central US"
"rsv-prod","Recovery Services vault","South Central US"
"safetyamp-identity","Managed Identity","South Central US"
"send_alert","Action group","Global"
"southcentralus","Container registry replication","South Central US"
"Sulphur","Connection","South Central US"
"UXRecordingRulesRuleGroup - dev-aks","Prometheus rule group","South Central US"
"UXRecordingRulesRuleGroup-Win - dev-aks","Prometheus rule group","South Central US"
"vnet_prod","Virtual network gateway","South Central US"
"vnet_prod","Virtual network","South Central US"
"vnet_prod-bastion","Bastion","South Central US"
"vnet_prod-ip","Public IP address","South Central US"
"vnetgw_pub_ip1","Public IP address","South Central US"
"vnetgw_pub_ip2","Public IP address","South Central US"
"vnetgw_pub_ip3","Public IP address","South Central US"
